Name,Mean (ps),2*Stdev (ps)
All.Church m^n.8^2 = 64.nfNbe,3491883,287506
All.Church m^n.8^2 = 64.nf,7016662,688466
All.Church m^n.4^3 = 64.nfNbe,3826725,210730
All.Church m^n.4^3 = 64.nf,21520703,928574
All.Church m^n.2^8 = 256.nfNbe,19226843,1700742
All.Church m^n.2^8 = 256.nf,423690527,26969076
All.Church m^n.2^10 = 1024.nfNbe,74098388,6827212
All.Church m^n.2^10 = 1024.nf,1729938281,133821680
All.Church arithmetic.mult 8 8 = 64.nfNbe,3506806,69128
All.Church arithmetic.mult 8 8 = 64.nf,8601687,466798
All.Church arithmetic.mult 16 16 = 256.nfNbe,11739324,943394
All.Church arithmetic.mult 16 16 = 256.nf,23274255,1789290
All.Church arithmetic.add 100 100 = 200.nfNbe,8994268,500998
All.Church arithmetic.add 100 100 = 200.nf,17599328,1047010
All.Church arithmetic.add 400 400 = 800.nfNbe,33298791,1706748
All.Church arithmetic.add 400 400 = 800.nf,61463720,3744212
All.Nested application redexes.depth 100.nfNbe,1851439,114682
All.Nested application redexes.depth 100.nf,1044158,74160
All.Nested application redexes.depth 500.nfNbe,9144189,841200
All.Nested application redexes.depth 500.nf,5127082,280872
All.Nested application redexes.depth 1000.nfNbe,18224340,847450
All.Nested application redexes.depth 1000.nf,10654409,878526
All.Nested let (faithful).depth 100.nfNbe,3519772,282264
All.Nested let (faithful).depth 100.nf,3674475000,305593626
All.Nested let (faithful).depth 500.nfNbe,21443421,1993412
All.Nested let (faithful).depth 500.nf,152689400000,8370496866
All.Nested let (faithful).depth 1000.nfNbe,47559985,3401158
All.Nested let (faithful).depth 1000.nf,693770200000,46681943952
